internship_title,skills_required
Java Development,git;java
Accounting and Finance,accounting;excel;financial analysis
Sales & Digital Marketing,digital marketing;excel;social media marketing
Social Entrepreneurship,
Videography & Photography,
English Curriculum Writing,
Search Engine Optimization (SEO),seo
Digital Dreamweaver: Internship Odyssey In Graphic Design,figma;graphic design;ui/ux design
Graphic Design,figma;graphic design;ui/ux design
Campus Ambassador,
Customer Support Management,
Bilingual Content Writing,
Office Operations,
Design,figma;graphic design;ui/ux design
Copywriting,
Social Media And Influencer Marketing,digital marketing;excel;social media marketing
Customer Success,
Instagram/TikTok Reel Creation,
Corporate Sales,
Affiliate Marketing,digital marketing;excel;social media marketing
Product Management,
Influencer Marketing,digital marketing;excel;social media marketing
Media And Public Relations (PR),
Law/Legal,
Human Resources (HR),
PHP Laravel Development,git
Social Work,
Social (Fundraising),deep learning;machine learning;nlp;python;tensorflow
Sales,
Sales  Executive,
Marketing,digital marketing;excel;social media marketing
Recruitment,
UX Design,figma;graphic design;ui/ux design
HR Consultant,
L&D,
Launch Management,
HR - Talent Acquisition,
Customer Support,
Generative Adversarial Networks,
Node.js Development,git;javascript;node.js
Product Management (Technical),
Web Development (Frontend),css;git;html;javascript;react
Technical Content Writing,
MERN Stack Development,git
ReactJs Development,git;javascript;react
Python Django Development,git;pandas;python
Python Automation,pandas;python
HR & Admin,
Resource Management,
Project Management,
Business Development,git
Business Development (Sales),git
Sales Promotion,
UI Design,figma;graphic design;ui/ux design
Project Management (Marketing),digital marketing;excel;social media marketing
Finance & Accounting,accounting;excel;financial analysis
Customer Relationship,
Talent Acquisition,
Communication & Project Management,
Logistics And Operations,
Event Management,
Content Writing,
Environment Education Program (Mumbai),deep learning;machine learning;nlp;python;tensorflow
Finance,accounting;excel;financial analysis
Customer Service,
Advertising Sales(Business Development) - Kerala (Malayalam),git
Legal,
Fundraising,deep learning;machine learning;nlp;python;tensorflow
"New Client Aquisition, Key Accounts Management",
Omni Sport Leadership - Hiking/Trekking,
Business Development Management,git
Data Entry With Marketing,digital marketing;excel;social media marketing
Operations,
HR Operations,
Guest Relation Operations,
Event Coordination,
Induction Representation,
Field Sales,
City Management,
Social Media Management,digital marketing;social media marketing
Video Editor,
Social Media Marketing,digital marketing;excel;social media marketing
Omni Sports Leader,
Android App Development,git;java
Telecalling,
Company Secretary (CS),
Webinar Operations & Strategy,css;git;html
Social Media Manager,digital marketing;social media marketing
Journalism,
Business Operations,
Online Reputation Management,
Strategy and Research,
HR,
Web Maintenance,css;deep learning;git;html;machine learning;nlp;python;tensorflow
User Research,
Nutraceuticals-Project,
Sales Administration,
Marketing And Communications,digital marketing;excel;social media marketing
Program Operations,
Volunteering,
Graphic And Content,
DEI Consulting,
Angular UI Development & UI Design,figma;git;graphic design;ui/ux design
Teaching GPAT And Pharmacy Exams,
Business Operations And Research,
Business Development & Brand Solution,git
Supply Chain & Logistics Operations,deep learning;machine learning;nlp;python;tensorflow
Motion Design,figma;graphic design;ui/ux design
Sales Trainee,deep learning;machine learning;nlp;python;tensorflow
Retail Management,deep learning;machine learning;nlp;python;tensorflow
Operation Analyst,
Omni Sports Leadership,
Omni Sports Leading,
IT Coordination,
Admin,
Software Development – Vāgyojaka Tool,git
Omni Sport Leader,
Youtube Management,
Public Relations,
Sales (Real Estate),
Customer Experience,
Insurance Consulting,
Curriculum Development,git
Digital Marketing,digital marketing;excel;social media marketing
Lead HR (Admin),
Content Creation & Ideation,
Technical Finance,accounting;excel;financial analysis
Media And Social Media Management,digital marketing;social media marketing
Digital Media Monitoring/Content Analytics,
Digital And Cartoon Artist,
Content Marketing,digital marketing;excel;social media marketing
Social Media Research/Scouting,digital marketing;social media marketing
Video Making/Editing,
YouTube Marketing,digital marketing;excel;social media marketing
Marketing (Sunburn),digital marketing;excel;social media marketing
Content Developement (DIY Videos),
US Sales Process (Female),
Chartered Accountancy (CA),
Content Writing (Education),
Computer Operations,
Creative Design,figma;graphic design;ui/ux design
Subject Matter Expert (Mathematics) - Doubt Solving,
Content Writing (Art & Craft),
Content Writing (Fashion & Lifestyle),
Web Development,css;git;html;javascript;react
Web Content Development,css;git;html
Video Editing,
UI/UX Design,figma;graphic design;ui/ux design
Data Entry,
Brand Management,
HR And Market Research,
Civil Engineering,
Architecture,
Digital Marketing (Meme & Carousel Making),digital marketing;excel;social media marketing
General Management,
Legal Content Curation,
English Content Curation (IELTS),
Field And Digital Marketing,digital marketing;excel;social media marketing
Accounts And Audit,
YouTube SEO,seo
Quality Analytics,
Growth Hacking,
Purchase Management,
Telecalling & Administration,
Furniture/Product Design,figma;graphic design;ui/ux design
Inside Sales,
Growth (Marketing),digital marketing;excel;social media marketing
Travel Research And Data Entry,
Sales executive,
Teaching (Python/Java/C++/Kotlin/Go/Javascript/Swift/Scala/Ruby),c++;java;javascript;pandas;python
Coordination,
Admission Counseling,
E-Commerce Marketing,digital marketing;excel;social media marketing
Content Development (English),git
Probability,
Credit Analytics,
Trainer (Teaching VLSI Front-end Designing Or VLSI Back-end Designing Course),deep learning;figma;graphic design;machine learning;nlp;python;tensorflow;ui/ux design
Fundraising/Crowdfunding,deep learning;machine learning;nlp;python;tensorflow
Psychology ( Marketing),digital marketing;excel;social media marketing
IPad Art,
Torchbearer Impact Program,
Technical Architecture,
Social Impact Leading,
Social Sector Operations,
Product Marketing,digital marketing;excel;social media marketing
Sales And Marketing,digital marketing;excel;social media marketing
Subject Matter Expert (Physics) Live Doubts,
Digital Marketing (Email Marketing),deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Sales (Tele-marketing),digital marketing;excel;social media marketing
Ruby On Rails Development,deep learning;git;machine learning;nlp;python;tensorflow
Physics Content Writing,
Subject Matter Expert (Chemistry) Live Doubt,
Content Writing (Chemistry),
AWS DevOps Engineering,aws;azure;docker;git
Market Research (Fashion),
Angular.js Development,git
Electrical Engineering,
Operation,
Business Development (Female),git
Interior Design,figma;graphic design;ui/ux design
Personal Assistant,
CEO Assistant,
Motion Graphics,
Civil Engineering (Hydraulic/Water Resources),
Email Marketing,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Social Media,digital marketing;social media marketing
Editorial Assistance,
E-commerce Operations,
Marketing Specialist,digital marketing;excel;social media marketing
EXPO - Project Coordination,
Marketing Lead,digital marketing;excel;social media marketing
Accounting And Bookkeeping,accounting;excel;financial analysis
Visual Communication,
Motion Graphics Design,figma;graphic design;ui/ux design
Telesales,
Embedded & IoT Development,c++;git
Customer Delight,
Climate Storytelling,
Solid Works 3D Printing,
Auditing And Accounting,accounting;excel;financial analysis
HR Recruitment,
QA Engineering,
Subject Matter Expert - Cyber Security,
Cyber Security,
Data Entry Executive,
Financial Analysis,accounting;financial analysis
Virtual Volunteering,
Subject Matter Expert (SME),
Computer Teaching,
Robotics Embedded Engineering,c++
AI Technology,deep learning;machine learning;nlp;python;tensorflow
Equity & Derivatives Trading,
IT Infra/Devops,aws;azure;docker;git
Crowdfunding,
Business Development(field sales),git
Sales Consultant,
Fundraising Operations,deep learning;machine learning;nlp;python;tensorflow
Social Media Research,digital marketing;social media marketing
